name,time,actual_max_temperature,actual_min_temperature,actual_wind_gust_speed,actual_wind_speed,average_accuracy,forecasted_max_temperature,forecasted_min_temperature,forecasted_wind_gust_speed,forecasted_wind_speed,max_temperature,max_temperature_accuracy,max_temperature_accuracy_max,min_temperature,min_temperature_accuracy,min_temperature_accuracy_max,wind_gust_speed,wind_gust_speed_accuracy,wind_speed,wind_speed_accuracy,wind_speed_accuracy_max
accu_diffs,2022-03-05T00:00:00Z,7.699999999999998,-1.937499999999999,5.491666666666666,5.491666666666666,99.9938114575473,6.9,-1.3,24.1,11.1,0.0010389610389610366,99.99896103896104,true,0.0032903225806451574,99.99670967741936,false,0.010212443095599395,false,0.010212443095599395,99.9897875569044,false
accu_diffs,2022-03-06T00:00:00Z,7.3086956521739115,0.7521739130434785,7.586956521739128,7.586956521739128,99.99347982925784,8.7,1.8,14.8,3.7,0.0019036287923854863,99.99809637120761,true,0.013930635838150286,99.98606936416185,false,0.00512320916905444,false,0.00512320916905444,99.99487679083094,false
accu_diffs,2022-03-07T00:00:00Z,4.039130434782608,0.6260869565217393,2.9956521739130437,2.9956521739130437,99.98811195599659,3.6,0.9,24.1,9.3,0.0010871905274488685,99.99891280947256,true,0.004374999999999997,99.995625,false,0.02104499274310595,false,0.02104499274310595,99.9789550072569,false
accu_diffs,2022-03-08T00:00:00Z,6.666666666666664,-0.8583333333333331,3.6458333333333335,3.6458333333333335,99.9935703744799,4.8,-2.8,16.7,3.7,0.002799999999999998,99.9972,false,0.022621359223300982,99.97737864077669,false,0.00014857142857142863,false,0.00014857142857142863,99.99985142857143,true
accu_diffs,2022-03-09T00:00:00Z,7.313043478260871,-1.0869565217391304,13.378260869565217,13.378260869565217,99.99413288799143,8.6,-0.3,11.1,3.7,0.001759809750297262,99.9982401902497,true,0.00724,99.99276,false,0.00723431914202145,false,0.00723431914202145,99.99276568085799,false
accu_diffs,2022-03-10T00:00:00Z,3.4782608695652173,-4.1347826086956525,20.86521739130435,16.269565217391307,99.99751691582352,3.8,-2.8,29.6,13,0.0009249999999999997,99.999075,true,0.003228180862250264,99.99677181913775,false,0.0037695353198583035,false,0.002009620523784074,99.99799037947622,false
accu_diffs,2022-03-11T00:00:00Z,2.9869565217391307,-6.065217391304347,12.821739130434784,12.821739130434784,99.99772043349103,3,-7.9,48.2,16.7,0.00004366812227074136,99.99995633187773,true,0.00302508960573477,99.99697491039427,false,0.0030247541539504897,false,0.0030247541539504897,99.99697524584604,false
accu_diffs,2022-03-12T00:00:00Z,2.67391304347826,-7.778260869565217,9.591304347826087,9.591304347826087,99.99601154666368,2.9,-8,40.7,16.7,0.0008455284552845565,99.99915447154471,false,0.0002850754611514822,99.99971492453885,true,0.00741160471441523,false,0.00741160471441523,99.99258839528558,false
accu_diffs,2022-03-13T00:00:00Z,2.2086956521739123,-6.982608695652174,9.513043478260869,9.513043478260869,99.99872832342572,2.4,-7.6,37,11.1,0.0008661417322834679,99.99913385826771,true,0.0008841843088418425,99.99911581569116,false,0.00166819012797075,false,0.00166819012797075,99.99833180987203,false
accu_diffs,2022-03-14T00:00:00Z,3.7499999999999996,-6.9333333333333345,3.870833333333334,3.870833333333334,99.98911072010156,2,-8,22.2,11.1,0.004666666666666666,99.99533333333333,false,0.0015384615384615365,99.99846153846154,true,0.018675995694294935,false,0.018675995694294935,99.9813240043057,false
accu_diffs,2022-03-15T00:00:00Z,7.104347826086956,-4.5304347826086975,5.095652173913043,5.095652173913043,99.99598707003037,5.6,-3.9,18.5,1.9,0.00211750305997552,99.99788249694002,false,0.0013915547024952052,99.9986084452975,true,0.006271331058020478,false,0.006271331058020478,99.99372866894198,false
accu_diffs,2022-03-16T00:00:00Z,10.582608695652171,-3.8608695652173908,6.126086956521741,6.126086956521741,99.99733191282367,8.6,-4.2,13,3.7,0.001873459326211995,99.9981265406738,false,0.0008783783783783804,99.99912162162163,true,0.003960255500354863,false,0.003960255500354863,99.99603974449964,false
accu_diffs,2022-03-17T00:00:00Z,13.004347826086954,-1.2130434782608708,4.5260869565217385,4.5260869565217385,99.99767855986022,12.6,-0.7,14.8,5.6,0.0003109327983951843,99.9996890672016,true,0.00422939068100359,99.995770609319,false,0.0023727185398655145,false,0.0023727185398655145,99.99762728146014,false
accu_diffs,2022-03-18T00:00:00Z,12.99130434782609,1.7521739130434788,8.382608695652175,8.382608695652175,99.99632121745013,13.5,1.2,11.1,3.7,0.00039156626506023915,99.99960843373493,true,0.0031513647642679925,99.99684863523574,false,0.0055860995850622415,false,0.0055860995850622415,99.99441390041494,false
accu_diffs,2022-03-19T00:00:00Z,10.060869565217391,1.3826086956521737,3.4782608695652186,3.4782608695652186,99.98958999034454,11.6,2.3,31.5,9.3,0.0015298184961106305,99.99847018150389,true,0.006635220125786164,99.99336477987421,false,0.016737499999999992,false,0.016737499999999992,99.9832625,false
accu_diffs,2022-03-20T00:00:00Z,4.14782608695652,-2.7869565217391314,3.5652173913043486,3.5652173913043486,99.99932052077143,3.8,-3.1,16.7,3.7,0.0008385744234800814,99.99916142557652,false,0.0011232449297971883,99.9988767550702,false,0.0003780487804878032,false,0.0003780487804878032,99.99962195121951,true
accu_diffs,2022-03-21T00:00:00Z,4.860869565217393,-3.847826086956522,10.160869565217393,10.160869565217393,99.99658767209844,4.6,-4,18.5,3.7,0.0005366726296958896,99.99946332737031,false,0.0003954802259887,99.99960451977401,true,0.006358579375267437,false,0.006358579375267437,99.99364142062473,false
accu_diffs,2022-03-22T00:00:00Z,5.9347826086956506,-4.217391304347828,11.365217391304347,11.365217391304347,99.9989609626275,5.2,-4.2,35.2,13,0.0012380952380952354,99.9987619047619,false,0.00004123711340206581,99.99995876288659,true,0.0014384085692425413,false,0.0014384085692425413,99.99856159143076,false
accu_diffs,2022-03-23T00:00:00Z,9.617391304347828,-2.9608695652173918,18.847826086956523,18.847826086956523,99.99793991523316,6.6,-3.2,46.3,14.8,0.003137432188065101,99.99686256781193,false,0.0008076358296622603,99.99919236417034,true,0.0021476355247981548,false,0.0021476355247981548,99.99785236447521,false
accu_diffs,2022-03-24T00:00:00Z,13.12608695652174,0.22173913043478266,10.482608695652175,10.482608695652175,99.99187965371024,11.8,0.1,57.4,24.1,0.0010102683007618424,99.99898973169924,true,0.0054901960784313735,99.99450980392157,false,0.012990460389879718,false,0.012990460389879718,99.98700953961011,false
accu_diffs,2022-03-25T00:00:00Z,15.799999999999992,0.8869565217391302,10.56086956521739,10.56086956521739,99.9962092892733,14.6,-0.3,27.8,11.1,0.0007594936708860714,99.99924050632912,false,0.013382352941176472,99.98661764705882,false,0.0005104981473857568,false,0.0005104981473857568,99.99948950185261,true
accu_diffs,2022-03-26T00:00:00Z,18.247826086956533,2.6043478260869573,9.356521739130438,9.356521739130438,99.99705560609917,16.9,0.7,35.2,11.1,0.0007386228258279787,99.99926137717418,true,0.007312186978297162,99.9926878130217,false,0.0018633828996282489,false,0.0018633828996282489,99.99813661710037,false
accu_diffs,2022-03-27T00:00:00Z,18.98260869565217,4.169565217391304,6.534782608695653,6.534782608695653,99.99524475828174,19.6,2.2,40.7,11.1,0.0003252404947320223,99.99967475950527,true,0.004723670490093846,99.9952763295099,false,0.0069860279441117746,false,0.0069860279441117746,99.99301397205589,false
accu_diffs,2022-03-28T00:00:00Z,18.626086956521732,3.339130434782607,5.499999999999999,5.499999999999999,99.99646138164073,18.3,5.7,24.1,7.4,0.00017507002801120034,99.999824929972,true,0.007070312500000009,99.9929296875,false,0.0034545454545454575,false,0.0034545454545454575,99.99654545454545,false
accu_diffs,2022-03-29T00:00:00Z,17.804347826086957,5.25217391304348,5.865217391304348,5.086956521739131,99.99437206046372,15.5,5.5,31.5,11.1,0.0012942612942612945,99.99870573870574,false,0.0004718543046357583,99.99952814569536,true,0.008925129725722755,false,0.01182051282051282,99.9881794871795,false
accu_diffs,2022-03-30T00:00:00Z,15.195652173913043,3.278260869565219,5.239130434782608,5.239130434782608,99.99621874524624,17.2,5.1,20.4,7.4,0.0013190271816881259,99.9986809728183,true,0.0055570291777188256,99.99444297082228,false,0.004124481327800831,false,0.004124481327800831,99.9958755186722,false
accu_diffs,2022-03-31T00:00:00Z,17.886956521739126,4.4956521739130455,6.769565217391304,6.769565217391304,99.99643419458283,17.7,7.5,24.1,9.3,0.00010452114730189403,99.9998954788527,true,0.006682785299806569,99.9933172147002,false,0.0037379576107899825,false,0.0037379576107899825,99.9962620423892,false
accu_diffs,2022-04-01T00:00:00Z,18.282608695652183,7.2826086956521765,7.1,7.1,99.99527855046586,18.2,8.9,40.7,13,0.00004518430439952956,99.9999548156956,true,0.002220895522388056,99.99777910447762,false,0.008309859154929577,false,0.008309859154929577,99.99169014084507,false
