name,time,actual_average_humidity,actual_average_pressure,actual_average_temperature,actual_max_temperature,actual_min_temperature,average_accuracy,average_humidity,average_humidity_accuracy,average_humidity_accuracy_max,average_humidity_pressure_max,average_pressure,average_pressure_accuracy,average_temperature_accuracy,average_temperature_accuracy_max,average_temperature_diff,forecasted_average_humidity,forecasted_average_pressure,forecasted_average_temperature,forecasted_max_temperature,forecasted_min_temperature,max_temperature,max_temperature_accuracy,max_temperature_accuracy_max,min_temperature,min_temperature_accuracy,min_temperature_accuracy_max
wunder_diffs,2022-03-07T00:00:00Z,94.04166666666667,1010.125,1.5025000000000004,3.51,-0.2,99.99621424532299,0.0005272485600354447,99.99947275143997,true,false,0.0007551045662665509,99.99924489543373,99.99665557404326,false,0.0033444259567387705,99,933.85,1,2,0,0.004301994301994301,99.995698005698,false,0.01,99.99,false
wunder_diffs,2022-03-08T00:00:00Z,83.20833333333333,1011.375,3.1312499999999996,8.26,-0.17,99.98683014869118,0.0018978467701552338,99.99810215322985,false,true,0.0007428006426894079,99.99925719935732,99.99319361277445,false,0.006806387225548902,99,936.25,1,2,-1,0.007578692493946731,99.99242130750605,false,0.0488235294117647,99.95117647058824,false
wunder_diffs,2022-03-09T00:00:00Z,88.83333333333333,1011.625,-0.25666666666666665,2.36,-3.13,99.98728592698494,0.0011444652908067549,99.9988555347092,false,true,0.0007529964166563693,99.99924700358335,99.95103896103896,false,0.04896103896103896,99,935.45,1,3,0,0.0027118644067796616,99.99728813559322,false,0.01,99.99,false
wunder_diffs,2022-03-10T00:00:00Z,75.91666666666667,1014.2083333333334,-2.2108333333333343,1.72,-4.38,99.99525508110462,0.0030406147091108665,99.9969593852909,false,true,0.0007657039562877457,99.99923429604371,99.99904636260837,false,0.0009536373916321186,99,936.55,-2,-1,-3,0.01581395348837209,99.98418604651162,false,0.003150684931506849,99.99684931506849,false
wunder_diffs,2022-03-11T00:00:00Z,53.333333333333336,1018.6666666666666,-1.9379166666666672,2.61,-5.78,99.99288932124395,0.008562499999999999,99.9914375,false,true,0.0007679319371727741,99.99923206806282,99.99451945818103,false,0.00548054181896366,99,940.44,-3,-2,-4,0.017662835249042143,99.98233716475096,false,0.0030795847750865056,99.99692041522492,false
wunder_diffs,2022-03-12T00:00:00Z,50.208333333333336,1023.5416666666666,-2.898333333333334,1.69,-7.77,99.99139629223843,0.00971784232365145,99.99028215767635,false,true,0.0007571911255851823,99.99924280887441,99.99619896492237,false,0.00380103507763082,99,946.04,-4,-3,-7,0.027751479289940824,99.97224852071005,false,0.0009909909909909904,99.99900900900901,false
wunder_diffs,2022-03-13T00:00:00Z,45.75,1025.9583333333333,-2.8383333333333347,0.62,-6.38,99.98895926445779,0.009453551912568307,99.99054644808743,false,false,0.0007594687893432966,99.99924053121066,99.99943041691134,true,0.000569583088667053,89,948.04,-3,-2,-5,0.04225806451612903,99.95774193548387,false,0.0021630094043887144,99.99783699059562,false
wunder_diffs,2022-03-14T00:00:00Z,45.125,1026.7083333333333,-0.9216666666666673,5.62,-8.38,99.98291696075862,0.011717451523545707,99.98828254847645,false,false,0.0007409926545188906,99.99925900734549,99.94490054249547,false,0.055099457504520756,98,950.63,-6,-4,-9,0.017117437722419932,99.98288256227758,false,0.0007398568019093069,99.99926014319809,true
wunder_diffs,2022-03-15T00:00:00Z,49.958333333333336,1031.9166666666667,1.7866666666666662,7.62,-3.38,99.99391851167381,0.009816513761467888,99.99018348623854,false,true,0.0007790034725026256,99.9992209965275,99.99,false,0.01,99,951.53,0,1,-3,0.008687664041994751,99.991312335958,false,0.0011242603550295856,99.99887573964497,false
wunder_diffs,2022-03-16T00:00:00Z,49.833333333333336,1032.9166666666667,3.7866666666666675,11.62,-4.38,99.99236662296873,0.009866220735785951,99.99013377926421,false,true,0.0007288745461879797,99.99927112545382,99.98471830985916,false,0.015281690140845069,99,957.63,-2,1,-3,0.009139414802065404,99.99086058519794,false,0.003150684931506849,99.99684931506849,false
